False;b' H\xc3\xa5llbar utveckling f\xc3\xb6r datateknik';b'https://www.kth.se/student/kurser/kurs/AL1504';b'DH1600 Kommunikation i ingenjo\xcc\x88rsvetenskap eller annan kurs i kommunikation eller spra\xcc\x8ak.'
False;b' H\xc3\xa5llbar utveckling f\xc3\xb6r ingenj\xc3\xb6rer';b'https://www.kth.se/student/kurser/kurs/MJ1507';b'Grundl\xc3\xa4ggande beh\xc3\xb6righet samt 30hp'
False;b' H\xc3\xa5llbar utveckling i ett globalt perspektiv';b'https://www.kth.se/student/kurser/kurs/3C5308';b'Beh\xc3\xb6rig till utbildning p\xc3\xa5 forskarniv\xc3\xa5.'
False;b' H\xc3\xa5llbar utveckling i teori och praktik';b'https://www.kth.se/student/kurser/kurs/AL2113';b'Minst 100 po\xc3\xa4ng inom ett tekniskt eller naturvetenskapligt program samt Svenska B och engelska A eller motsvarande.'
False;b' H\xc3\xa5llbar utveckling i teori och praktik';b'https://www.kth.se/student/kurser/kurs/MJ2693';b'Minst 150 po\xc3\xa4ng vid akademiska studier p\xc3\xa5 ett tekniskt\xc2\xa0 eller naturvetenskapligt program. Engelska motsvarande minst Engelska B fr\xc3\xa5n gymnasiet'
False;b' H\xc3\xa5llbar utveckling i utvecklingsl\xc3\xa4nder';b'https://www.kth.se/student/kurser/kurs/AL2195';b'Minst 120 po\xc3\xa4ng vid akademiska studier p\xc3\xa5 ett tekniskt eller naturvetenskapligt program. Engelska motsvarande minst Engelska B fr\xc3\xa5n gymnasiet'
False;b' H\xc3\xa5llbar utveckling i utvecklingsl\xc3\xa4nder';b'https://www.kth.se/student/kurser/kurs/MJ2695';b'Minst 120 po\xc3\xa4ng vid akademiska studier p\xc3\xa5 ett tekniskt\xc2\xa0 eller naturvetenskapligt program. Engelska motsvarande minst Engelska B fr\xc3\xa5n gymnasiet'
False;b' H\xc3\xa5llbar utveckling med arbetsmilj\xc3\xb6';b'https://www.kth.se/student/kurser/kurs/MJ1506';b'Grundl\xc3\xa4ggande beh\xc3\xb6righet samt 30hp'
False;b' H\xc3\xa5llbar utveckling, ICT och innovation';b'https://www.kth.se/student/kurser/kurs/AG1815';b'90 h\xc3\xb6gskolepo\xc3\xa4ng varav 45 h\xc3\xb6gskolepo\xc3\xa4ng inom matematik eller informationsteknik inkluderat kunskaper motsvarande : IS1200 Datorteknik 7.5hp, ID1005 Algoritmer och datastrukturer 7.5hp samt IK1203 N\xc3\xa4tverk och kommunikation 7.5 hp. Dessutom kr\xc3\xa4vs svenska B eller motsvarande.'
False;b' H\xc3\xa5llbara energi- och vattensystem i ett globalt perspektiv';b'https://www.kth.se/student/kurser/kurs/MJ191V';b'Ut\xc3\xb6ver grundl\xc3\xa4ggande beh\xc3\xb6righet (avslutad gymnasieutbildning el motsv inkl svenska och engelska) kr\xc3\xa4vs minst 30 hp inom ett tekniskt eller naturvetenskapligt program.'
True;b' Industriell ekologi och h\xc3\xa5llbar stadsutveckling';b'https://www.kth.se/student/kurser/kurs/MJ3747';b''
True;b' Industriell ekologi: konferens/ workshop A';b'https://www.kth.se/student/kurser/kurs/AL3106';b'Beh\xc3\xb6rig till forskarstudier.'
True;b' Industriell ekologi: konferens/ workshop B';b'https://www.kth.se/student/kurser/kurs/AL3107';b'Beh\xc3\xb6rig till forskarstudier.'
True;b' Industriell ekologi: konferens/ workshop C';b'https://www.kth.se/student/kurser/kurs/AL3108';b'Beh\xc3\xb6rig till forskarstudier.'
True;b' Industriell ekologi: Litteraturkurs A';b'https://www.kth.se/student/kurser/kurs/AL3101';b''
True;b' Industriell ekologi: Litteraturkurs B';b'https://www.kth.se/student/kurser/kurs/AL3102';b'Beh\xc3\xb6rig till forskarstudier.'
True;b' Industriell ekologi: Litteraturkurs C';b'https://www.kth.se/student/kurser/kurs/AL3103';b'Beh\xc3\xb6rig till forskarstudier.'
True;b' Industriell ekologi: Litteraturkurs D';b'https://www.kth.se/student/kurser/kurs/AL3104';b'Beh\xc3\xb6rig till forskarstudier.'
True;b' Industriell ekologi: Litteraturkurs E';b'https://www.kth.se/student/kurser/kurs/AL3105';b'Beh\xc3\xb6rig till forskarstudier.'
True;b' Industriell ekologi: Litteraturkurs F';b'https://www.kth.se/student/kurser/kurs/AL3110';b'Beh\xc3\xb6rig till forskarstudier.'
True;b' Industriell ekologi: till\xc3\xa4mpning och forskning';b'https://www.kth.se/student/kurser/kurs/AL3100';b'Beh\xc3\xb6rig till forskarstudier.'
True;b' Ingenj\xc3\xb6ren och h\xc3\xa5llbar utveckling';b'https://www.kth.se/student/kurser/kurs/MJ1502';b'F\xc3\xb6rkunskapskravet \xc3\xa4r minst 30 h\xc3\xb6gskolepo\xc3\xa4ng'
True;b' Innovationer f\xc3\xb6r h\xc3\xa5llbar utveckling p\xc3\xa5 en lokal eller global niv\xc3\xa5';b'https://www.kth.se/student/kurser/kurs/AE1707';b'Grundl\xc3\xa4ggande h\xc3\xb6gskolebeh\xc3\xb6righet.'
True;b' Innovationsprojekt f\xc3\xb6r h\xc3\xa5llbar utveckling';b'https://www.kth.se/student/kurser/kurs/AE1708';b'Generell h\xc3\xb6gskolebeh\xc3\xb6righet'
