;x;;;;;;;;;;;;;;;
AD2820;120-hp;;;;;;;;;;;;;;;
AD2840;120-hp;;;;;;;;;;;;;;;
AD201V;x;;;;;;;;;;;;;;;
AD1TRS;x;;;;;;;;;;;;;;;
AD2EA1;90-hp;;;;;;;;;;;;;;;
AD2850;x;;;;;;;;;;;;;;;
AD1WO2;Basic;;;;;;;;;;;;;;;
AD1WOD;x;;;;;;;;;;;;;;;
1A5040;Prof;;;;;;;;;;;;;;;
AD215V;Basic;;;;;;;;;;;;;;;
AD1UTG;All;;;;;;;;;;;;;;;
AD3100;Mcs-exam;;;;;;;;;;;;;;;
1A5035;Prof;;;;;;;;;;;;;;;
AD206V;x;;;;;;;;;;;;;;;
AD1KU1;x;;;;;;;;;;;;;;;
AD1KU2;x;;;;;;;;;;;;;;;
A11CCA;x;;;;;;;;;;;;;;;
A21CCA;1-års;;;;;;;;;;;;;;;
A31CCA;2-års;;;;;;;;;;;;;;;
A31CCB;2-års;;;;;;;;;;;;;;;
A31P3A;x;;;;;;;;;;;;;;;
A11HIA;x;;;;;;;;;;;;;;;
A11HIB;Basic;;;;;;;;;;;;;;;
A21HIA;x;;;;;;;;;;;;;;;
A21HIC;1-års;;;;;;;;;;;;;;;
A31HIA;2-års;;;;;;;;;;;;;;;
A31H1A;2-års;;;;;;;;;;;;;;;
A31H2A;2-års;;;;;;;;;;;;;;;
A21HIB;x;;;;;;;;;;;;;;;
A31HIB;2-års;;;;;;;;;;;;;;;
A11KOA;x;;;;;;;;;;;;;;;
A21KOA;1-års;;;;;;;;;;;;;;;
A31KOA;2-års;;;;;;;;;;;;;;;
A11P1B;Basic;;;;;;;;;;;;;;;
A11P1A;x;;;;;;;;;;;;;;;
A11P2B;x;;;;;;;;;;;;;;;
A11P2A;x;;;;;;;;;;;;;;;
A11P3B;x;;;;;;;;;;;;;;;
A11P3A;x;;;;;;;;;;;;;;;
A11P4A;x;;;;;;;;;;;;;;;
A21P1C;1-års;;;;;;;;;;;;;;;
A21P1A;1-års;;;;;;;;;;;;;;;
A21P1B;1-års;;;;;;;;;;;;;;;
A21P2B;x;;;;;;;;;;;;;;;
A21P2A;x;;;;;;;;;;;;;;;
A11P3C;x;;;;;;;;;;;;;;;
A21P3C;x;;;;;;;;;;;;;;;
A21P3A;x;;;;;;;;;;;;;;;
A21P3B;x;;;;;;;;;;;;;;;
A31P1A;2-års;;;;;;;;;;;;;;;
A31P2A;2-års;;;;;;;;;;;;;;;
A11TEA;x;;;;;;;;;;;;;;;
A11TEB;Basic;;;;;;;;;;;;;;;
A21TEA;1-års;;;;;;;;;;;;;;;
A21TEB;1-års;;;;;;;;;;;;;;;
A31TEA;2-års;;;;;;;;;;;;;;;
A31T1A;2-års;;;;;;;;;;;;;;;
A31T2A;2-års;;;;;;;;;;;;;;;
A31TEB;2-års;;;;;;;;;;;;;;;
A21AYA;1-års;;;;;;;;;;;;;;;
A21D2A;1-års;;;;;;;;;;;;;;;
A11DBA;x;;;;;;;;;;;;;;;
1A10KA;x;;;;;;;;;;;;;;;
A31EXA;Exam;;;;;;;;;;;;;;;
A31KAX;Exam;;;;;;;;;;;;;;;
A31HSA;COURSE_A31CCA;;;;;;;;;;;;;;;
A11INA;x;;;;;;;;;;;;;;;
A11IAA;Basic;;;;;;;;;;;;;;;
A11IYA;Basic;;;;;;;;;;;;;;;
A11IDA;x;;;;;;;;;;;;;;;
A11KOB;Basic;;;;;;;;;;;;;;;
A21KOB;1-års;;;;;;;;;;;;;;;
1A1251;x;;;;;;;;;;;;;;;
A11HNA;x;;;;;;;;;;;;;;;
A11POA;x;;;;;;;;;;;;;;;
A21POA;x;;;;;;;;;;;;;;;
A31P2D;x;;;;;;;;;;;;;;;
A11REA;Basic;;;;;;;;;;;;;;;
A21REA;1-års;;;;;;;;;;;;;;;
A31REA;2-års;;;;;;;;;;;;;;;
A11VEA;x;;;;;;;;;;;;;;;
A21S1A;x;;;;;;;;;;;;;;;
A21S2A;x;;;;;;;;;;;;;;;
A31SFA;2-års;;;;;;;;;;;;;;;
A31SBA;2-års;;;;;;;;;;;;;;;
