1-års;;;;;;;;;;;;;;;
2-års;;;;;;;;;;;;;;;
2-års;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
2-års;;;;;;;;;;;;;;;
2-års;;;;;;;;;;;;;;;
2-års;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
2-års;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
2-års;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
2-års;;;;;;;;;;;;;;;
2-års;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
2-års;;;;;;;;;;;;;;;
2-års;;;;;;;;;;;;;;;
2-års;;;;;;;;;;;;;;;
2-års;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
Exam;;;;;;;;;;;;;;;
Exam;;;;;;;;;;;;;;;
COURSE_A31CCA;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
2-års;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
2-års;;;;;;;;;;;;;;;
2-års;;;;;;;;;;;;;;;
