False;b' Kunskapsbildning: att f\xc3\xb6rst\xc3\xa5 gr\xc3\xa4nssnittet mellan teknik och humaniora';b'https://www.kth.se/student/kurser/kurs/ME1312';b'Grundl\xc3\xa4ggande beh\xc3\xb6righet.'
False;b' Kvalitativa metoder';b'https://www.kth.se/student/kurser/kurs/ME3515';b'Godk\xc3\xa4nt aktivt deltagande p\xc3\xa5 f\xc3\xb6rel\xc3\xa4sningar/seminarier. Godk\xc3\xa4nda inl\xc3\xa4mningsuppgifter i form av metodkapitel som kopplar samman kunskapssyn, forskningsfr\xc3\xa5ga, syfte, empiriinamling samt analys.'
False;b' Kvantitativ aff\xc3\xa4rs- och verksamhetsanalys';b'https://www.kth.se/student/kurser/kurs/ME1316';b'ME1314/ME1305 Introduktion till industriell ekonomi, eller motsvarande samt 45 hp p\xc3\xa5 utbildningsprogram CINEK.'
False;b' Kvantitativa forskningsmetoder i industriell ekonomi';b'https://www.kth.se/student/kurser/kurs/ME3518';b'Antagen till forskarutbildningen i industriell ekonomi eller motsvarande'
False;b' Leda framtida talanger';b'https://www.kth.se/student/kurser/kurs/ME196U';b'Antagna av IVA som handledare i Teknikspr\xc3\xa5nget'
False;b' Ledarskap f\xc3\xb6r teknologisk innovation och kreativitet';b'https://www.kth.se/student/kurser/kurs/ME2092';b'ME1003 Industriell ekonomi, gk (6,0 hp) eller motsvarande'
False;b' Ledarskap i tv\xc3\xa4rkulturella och industriella kontexter';b'https://www.kth.se/student/kurser/kurs/ME2089';b'Grundkurs i industriell ekonomi och organisation, projektledning, arbetsorganisation eller liknande.'
False;b' Ledarskap och industriellt f\xc3\xb6r\xc3\xa4ndringsarbete';b'https://www.kth.se/student/kurser/kurs/ME2311';b'Kurserna ME1306 och\xc2\xa0ME1308 ska vara avklarade.'
False;b' Ledarskap och makt i industriella organisationer: genusperspektiv och aspekter p\xc3\xa5 m\xc3\xa5ngfald';b'https://www.kth.se/student/kurser/kurs/ME2075';b'ME2063 Team leadership and human resource management eller ME1304 Ledarskap, eller liknande. Totalt minst 30 hp inom \xc3\xa4mnesomr\xc3\xa5det Industriell ekonomi.'
False;b' Ledning av forskning och innovation';b'https://www.kth.se/student/kurser/kurs/ME2069';b'Tidd and Bessant: Managing Innovation: Integrating Technological, Market and Organizational Change samt Vetenskapliga artiklar som kan anskaffas via KTH biblioteket.//'
True;b' Litteraturkurs i industriell marknadsf\xc3\xb6ring';b'https://www.kth.se/student/kurser/kurs/ME3524';b'Kursdeltagarna m\xc3\xa5ste vara doktorander och ha fullbordat f\xc3\xb6ljande doktorandkurser:'
False;b' Litteraturstudier i industriell ekonomi';b'https://www.kth.se/student/kurser/kurs/ME3536';b'Antagna forskarutbildningsstuderande inom \xc3\xa4mnet Industriell ekonomi\xc2\xa0 och organization.'
False;b' Logistik & Supply Chain Management';b'https://www.kth.se/student/kurser/kurs/ME2053';b'6,0 hp inom Industriell ekonomi eller liknande samt 120 hp (uppflyttad till \xc3\xa5rskurs 3).'
False;b' Makroekonomi';b'https://www.kth.se/student/kurser/kurs/ME2703';b'H\xc3\xb6gskolestudier om minst 180 hp, d\xc3\xa4rav minst 30 hp inom matematik/nationalekonomi samt dokumerade kunskaper i engelska B eller motsvarande.'
